timestamp,source_provider,source_region,source_ip,target_provider,target_region,target_ip,success,avg_latency,min_latency,max_latency,packet_loss,error,note
2025-08-02T02:31:36.698650,AWS,ca-central-1,35.183.113.19,GCP,southamerica-east1,34.95.199.13,TRUE,288.9,287,299,0,,
2025-08-02T02:31:46.005731,AWS,ca-central-1,35.183.113.19,GCP,us-east4,35.245.136.40,TRUE,178.6,178,181,0,,
2025-08-02T02:31:55.263128,AWS,ca-central-1,35.183.113.19,GCP,us-west1,34.168.233.222,TRUE,125.2,124,127,0,,
2025-08-02T02:32:04.819332,AWS,eu-central-1,18.184.239.190,AWS,af-south-1,13.245.236.16,TRUE,425.9,425,426,0,,
2025-08-02T02:32:13.999816,AWS,eu-central-1,18.184.239.190,AWS,ap-northeast-1,57.183.18.62,TRUE,46.5,46,47,0,,
2025-08-02T02:32:23.142439,AWS,eu-central-1,18.184.239.190,AWS,ap-northeast-2,3.35.173.236,TRUE,12.5,12,16,0,,
2025-08-02T02:32:32.406148,AWS,eu-central-1,18.184.239.190,AWS,ap-south-1,3.110.78.219,TRUE,139.3,139,142,0,,
2025-08-02T02:32:41.635952,AWS,eu-central-1,18.184.239.190,AWS,ap-southeast-1,13.229.101.72,TRUE,79.8,79,80,0,,
2025-08-02T02:32:50.960411,AWS,eu-central-1,18.184.239.190,AWS,ca-central-1,35.183.113.19,TRUE,185.8,185,186,0,,
2025-08-02T02:33:00.390881,AWS,eu-central-1,18.184.239.190,AWS,eu-south-2,51.48.91.118,TRUE,288.6,288,289,0,,
2025-08-02T02:33:09.805159,AWS,eu-central-1,18.184.239.190,AWS,eu-west-1,63.33.190.43,TRUE,273.7,273,274,0,,
2025-08-02T02:33:19.233512,AWS,eu-central-1,18.184.239.190,AWS,me-south-1,157.175.182.59,TRUE,294.7,294,297,0,,
2025-08-02T02:33:28.693110,AWS,eu-central-1,18.184.239.190,AWS,sa-east-1,52.67.230.2,TRUE,306.6,304,322,0,,
2025-08-02T02:33:38.014121,AWS,eu-central-1,18.184.239.190,AWS,us-east-1,13.223.204.77,TRUE,186,186,186,0,,
2025-08-02T02:33:47.289986,AWS,eu-central-1,18.184.239.190,AWS,us-west-1,54.193.216.187,TRUE,122.7,122,123,0,,
2025-08-02T02:33:56.471520,AWS,eu-central-1,18.184.239.190,GCP,asia-east2,34.92.77.143,TRUE,42.8,42,45,0,,
2025-08-02T02:34:05.636731,AWS,eu-central-1,18.184.239.190,GCP,asia-northeast1,34.146.113.141,TRUE,36.4,36,38,0,,
2025-08-02T02:34:14.897598,AWS,eu-central-1,18.184.239.190,GCP,asia-south1,34.93.67.233,TRUE,139.2,136,148,0,,
2025-08-02T02:34:24.101769,AWS,eu-central-1,18.184.239.190,GCP,asia-southeast1,34.126.128.161,TRUE,78.4,77,82,0,,
2025-08-02T02:34:33.355460,AWS,eu-central-1,18.184.239.190,GCP,australia-southeast1,35.244.90.228,TRUE,138.1,137,140,0,,
